obs,t,x1,x2,x3,x4,x5,x6,x7,x8,x9,x11,y1,y2,temp,d_l_y1,d_l_y2,l_y1,l_y2,d_x4,d_x5,d2000,time,timesq
1984,1984,0.302,5,5.88024536542275,1814908.31,1.75044806018373,43.9106504160464,2.6885507374131,1.10555828781086,3954.9,336.411641308803,11959.6034585718,11.534833225059,5.9797725,0.119415165469711,0.106294477858333,9.38928987131715,2.44537143335553,147879.109,0.121392152394306,1,11,121
1985,1985,0.403,7.3,6.02451881970117,1966553.428,1.87105479144466,40.4074577563988,2.84458699558173,1.14906041938679,3820.5,362.812071852641,14238.9066043363,13.5474450109761,6.1997425,0.174443527297468,0.160826536114931,9.56373339861462,2.60619796947046,151645.118,0.12060673126093,1,12,144
1986,1986,0.4675,10,6.21306967764582,2068969.071,1.93943425697654,40.1292926929152,2.88946185581421,1.1353534300267,3889.9,391.351624968363,13837.2606002361,12.9709320487032,6.32847,-0.0286131225433373,-0.0434871118348283,9.53512027607128,2.56271085763563,102415.643,0.068379465531873,1,13,169
1987,1987,0.6475,12.5,6.07201398754234,2209708.531,2.03841068876927,40.0005463883728,2.93540474248334,1.14254911357064,3973.1,426.554493166734,12558.9242227962,11.5853493870551,6.63087,-0.0969334907686097,-0.112969541634185,9.43818678530267,2.44974131600145,140739.46,0.0989764317927369,1,14,196
1988,1988,0.731799987793,17,5.97077731135041,2369501.723,2.1509052249848,39.0754598365476,2.98595213183608,1.18289992340014,3930.6,461.797518222997,14370.7470984536,13.0449852477271,6.7425725,0.134763182568822,0.118662471710951,9.5729499678715,2.5684037877124,159793.192,0.112494536215522,1,15,225
1989,1989,0.6830999755859,11.08,5.98996855376718,2408540.605,2.15307791087471,37.4455078909472,2.97338768690684,1.25692984402684,4014.7,487.373173021052,16000.0916109022,14.3030363481895,6.7106775,0.107399759015417,0.0920680590554301,9.68034972688691,2.66047184676783,39038.8819999998,0.00217268588991892,1,16,256
1990,1990,0.818299987793,16.5961,5.15573667832404,2442431.019,2.15157090606377,35.8969912425215,2.80519427381532,0.918711738632104,4320.9,510.619854913516,16602.3291610498,14.6252189388071,6.9978425,0.0369485485216821,0.0222755164128889,9.7172982754086,2.68274736318072,33890.4139999999,-0.00150700481094601,1,17,289
1991,1991,1.0095,19.52,5.22689344580847,2565594.548,2.22943963920124,35.6093546395995,3.02562826745492,0.989355243402051,4231.4,548.953753106589,17638.2165853843,15.3271838104453,6.57669916666667,0.0605249484393795,0.0468806083553446,9.77782322384797,2.72962797153606,123163.529,0.0778687331374681,1,18,324
1992,1992,1.316,27.345,5.49139408389837,2690455.898,2.30946367545945,35.4054444965528,3.06853006057907,1.01402098327071,4361.6,604.693683099136,19641.5124613873,16.8601015145345,6.34880666666667,0.107577364331028,0.0953220020476677,9.885400588179,2.82494997358373,124861.35,0.0800240362582172,1,19,361
1993,1993,1.547,31.3125,5.65687851971038,2878694.009,2.44280065934626,34.6556717618665,3.09949451948805,1.14034099999695,4562.1,662.63704558569,20461.1701229669,17.3629290612733,6.39526083333333,0.0408836404521296,0.0293874461437831,9.92628422863113,2.85433741972751,188238.111,0.133336983886801,1,20,400
1994,1994,1.7171999511719,37.601,5.04432102967111,3058241.33,2.56599389177193,34.9374245846354,3.14397275742376,1.63850291953844,4504.9,727.107359659684,25963.4155130971,21.78440431192,6.98301916666667,0.238159501833668,0.226856895512107,10.1644437304648,3.08119431523962,179547.321,0.123193232425677,1,21,441
1995,1995,1.501,47.5645,4.87689984344043,3320285.15,2.75575496636525,37.0640924394198,3.1791020847728,1.70172387947784,4659.3,770.280241190849,33795.03556981,28.049047868673,6.75275083333333,0.26362546358604,0.252760372077143,10.4280691940508,3.33395468731676,262043.82,0.189761074593315,1,22,484
1996,1996,1.6885999755859,51.7701,6.56943201640617,3463089.131,2.84430958153669,33.7259626265194,3.22610732627155,1.71652658644407,4891.6,821.080859102296,39739.2070851509,32.6386654224885,6.41782416666667,0.162024369293027,0.151542954151811,10.5900935633439,3.48549764146857,142803.981,0.088554615171446,1,23,529
